Đường,Phường,Quận/Huyện,Thành phố,duration_days,price,acreage,package,category,public_date,expired_date,ad_type,target_renter
25A Phố số 24,Phường Linh Đông,Thủ Đức,Hồ Chí Minh,90,2.5, 26m,Tin VIP 1,Phòng trọ Thủ Đức,09/08/2024 22:49,07/11/2024 22:49,Phòng trọ,Tất cả
519/48 Đường Âu Cơ,Phường Phú Trung,Quận Tân Phú,Hồ Chí Minh,7,5.5, 34m,Tin VIP 1,Cho thuê nhà Quận Tân Phú,26/10/2024 13:31,02/11/2024 13:31,Nhà thuê nguyên căn,Tất cả
218 Mỹ Khánh,Xã Phước Hiệp,Huyện Củ Chi,Hồ Chí Minh,7,4, 297m,Tin VIP 1,Cho thuê nhà Huyện Củ Chi,26/10/2024 11:33,02/11/2024 11:33,Nhà thuê nguyên căn,Tất cả
Đường Phạm Cự Lượng,Phường 2,Quận Tân Bình,Hồ Chí Minh,54,1.6, 30m,Tin VIP 1,Phòng trọ Quận Tân Bình,02/10/2024 15:07,26/11/2024 15:06,Phòng trọ,Tất cả
Lũy Bán Bích,Phường Tân Thành,Quận Tân Phú,Hồ Chí Minh,5,3.8, 22m,Tin miễn phí,Phòng trọ Quận Tân Phú,31/10/2024 09:10,05/11/2024 09:10,Phòng trọ,Tất cả
457/43 Đường Lê Văn Thọ,Phường 9,Quận Gò Vấp,Hồ Chí Minh,7,2.3, 20m,Tin VIP 1,Phòng trọ Quận Gò Vấp,29/10/2024 14:01,05/11/2024 14:01,Phòng trọ,Tất cả
13/12 Quách Văn Tuấn,Phường 12,Quận Tân Bình,Hồ Chí Minh,20,1.4, 12m,Tin VIP 1,Phòng trọ Quận Tân Bình,16/10/2024 16:02,06/11/2024 15:08,Phòng trọ,Tất cả
26C Đường Thanh Đa,Phường 27,Quận Bình Thạnh,Hồ Chí Minh,,1.5, 50m,Tin VIP 1,Phòng trọ Quận Bình Thạnh,,06/11/2024 10:41,Phòng trọ,Tất cả
80 Đường số 3,Phường Tân Kiểng,Quận 7,Hồ Chí Minh,7,3.6, 25m,Tin VIP 1,Phòng trọ Quận 7,29/10/2024 15:07,05/11/2024 15:07,Phòng trọ,Tất cả
Số 8 ngõ 119 Phố Lê Thanh Nghị,Phường Đồng Tâm,Quận Hai Bà Trưng,Hà Nội,5,2.2, 16m,Tin thường,Phòng trọ Quận Hai Bà Trưng,31/10/2024 09:15,05/11/2024 09:15,Phòng trọ,Tất cả
